iter	Logloss
0	0.6893609365
1	0.6850996017
2	0.6813697815
3	0.6786690553
4	0.674981753
5	0.6710179647
6	0.6671597163
7	0.6643788815
8	0.6617726882
9	0.6591806014
10	0.6555457115
11	0.6518574556
12	0.6481688817
13	0.6453642845
14	0.6416217089
15	0.6383525928
16	0.6354099512
17	0.6329682668
18	0.6308805148
19	0.6284278234
20	0.6258727709
21	0.6220402718
22	0.6197309891
23	0.6170818011
24	0.6145106951
25	0.6125808557
26	0.6095305284
27	0.6073322296
28	0.6046804587
29	0.6023871104
30	0.5996482372
31	0.5963807106
32	0.5944120884
33	0.592924118
34	0.5904343128
35	0.5879248381
36	0.5860273838
37	0.5842641989
38	0.5824752649
39	0.5806585153
40	0.5785351594
41	0.5770173073
42	0.5754422347
43	0.5738008817
44	0.5719104608
45	0.5700136026
46	0.5681399504
47	0.5669283072
48	0.5653498173
49	0.5636725823
50	0.5624700785
51	0.5610824029
52	0.5595136086
53	0.5579118729
54	0.5564676921
55	0.5551732779
56	0.5535835425
57	0.5522404114
58	0.5509598255
59	0.5498797099
60	0.5489310821
61	0.5470275879
62	0.5460834503
63	0.544420282
64	0.5427803596
65	0.5418326855
66	0.540721337
67	0.5397372246
68	0.5377216736
69	0.536175251
70	0.5350496769
71	0.5335041682
72	0.5326821407
73	0.5314321121
74	0.5306686163
75	0.5294466813
76	0.5289558172
77	0.5278458595
78	0.5269393126
79	0.526107351
80	0.5244731108
81	0.5231976509
82	0.522210598
83	0.5214614073
84	0.5206828117
85	0.5194780032
86	0.518468221
87	0.5175789992
88	0.5166043043
89	0.5152509212
90	0.5143750509
91	0.5130888621
92	0.5117644469
93	0.5107507706
94	0.50984478
95	0.5090596279
96	0.5080092748
97	0.5071672201
98	0.5061502059
99	0.5054682493
100	0.5047881206
101	0.5041298072
102	0.5032579104
103	0.5027188063
104	0.5020171801
105	0.501515309
106	0.5007852713
107	0.5000522137
108	0.4996038675
109	0.4984963735
110	0.4980836709
111	0.4973482688
112	0.4963721832
113	0.495625337
114	0.4946569602
115	0.49401172
116	0.4936755101
117	0.4931745529
118	0.4925316175
119	0.4921383858
120	0.4916373889
121	0.4909455379
122	0.4904108047
123	0.490042607
124	0.4894569317
125	0.4887660344
126	0.488008817
127	0.4875084559
128	0.4868827661
129	0.486207962
130	0.4857652187
131	0.485078613
132	0.4845287005
133	0.4841807683
134	0.4836316109
135	0.4829028845
136	0.4824890693
137	0.4821501573
138	0.4818058014
139	0.4814284643
140	0.4808572928
141	0.4805356661
142	0.4798722267
143	0.4793446461
144	0.4789270957
145	0.4782759349
146	0.4779092471
147	0.4774090052
148	0.4769294262
149	0.476335446
150	0.4757795731
151	0.475253582
152	0.4747867584
153	0.474488457
154	0.4739973148
155	0.4735336701
156	0.4731461604
157	0.472619017
